"","playerid","pitcher_hand","pitch_type","spin_rate","ab_result","action_result","adj_h"
"2102",2850,"R","CU",3005.957,"\N","C",0
"2103",2850,"R","CU",3047.686,"\N","C",0
"2104",3062,"R","KC",3053.6609,"\N","B",0
"2105",2732,"R","CU",3346.353,"\N","B",0
"2106",2732,"R","CU",3394.603,"\N","B",0
"2107",2850,"R","CU",3177.5339,"\N","B",0
"2108",2850,"R","CU",3052.7539,"\N","C",0
"2109",11683,"R","CU",3037.7129,"\N","S",0
"2110",2850,"R","CU",3019.241,"\N","F",0
"2111",2850,"R","CU",3092.5381,"\N","B",0
"2112",2732,"R","CU",3189.8601,"K","S",0
"2113",5829,"R","CU",3000.583,"K","S",0
"2114",6222,"R","CU",3010.5459,"O","X",0.04
"2115",2850,"R","CU",3086.0859,"\N","B",0
"2116",6222,"R","CU",3006.115,"K","C",0
"2117",2850,"R","CU",3109.658,"\N","C",0
"2118",2850,"R","CU",3182.0239,"\N","S",0
"2119",2850,"R","CU",3144.623,"\N","B",0
"2120",6222,"R","CU",3065.304,"K","S",0
"2121",3062,"R","KC",3169.9109,"\N","F",0
"2122",2850,"R","CU",3084.2581,"O","X",0.38
"2123",2850,"R","CU",3343.4221,"\N","C",0
"2124",6222,"R","CU",3107.894,"K","S",0
"2125",2850,"R","CU",3071.0149,"K","S",0
"2126",2850,"R","CU",3071.3921,"\N","B",0
"2127",6222,"R","CU",3016.8459,"K","S",0
"2128",6222,"R","CU",3029.0811,"\N","B",0
"2129",2850,"R","CU",3175.156,"1B","X",0.39
"2130",6222,"R","CU",3074.1411,"\N","B",0
"2131",2850,"R","CU",3207.302,"\N","B",0
"2132",2850,"R","CU",3072.0229,"\N","B",0
"2133",3062,"R","KC",3000.0071,"\N","S",0
"2134",2850,"R","CU",3058.3069,"\N","B",0
"2135",2850,"R","CU",3331.2429,"\N","B",0
"2136",2850,"R","CU",3354.0439,"\N","C",0
"2137",2850,"R","CU",3088.937,"\N","B",0
"2138",2850,"R","CU",3086.8589,"\N","B",0
"2139",2850,"R","CU",3004.769,"\N","C",0
"2140",2850,"R","CU",3204.7161,"\N","C",0
"2141",2850,"R","CU",3159.043,"\N","C",0
"2142",2850,"R","CU",3200.7251,"\N","F",0
"2143",2732,"R","CU",3307.1799,"\N","F",0
"2144",2850,"R","CU",3091.7041,"\N","C",0
"2145",2850,"R","CU",3090.3989,"\N","B",0
"2146",2850,"R","CU",3155.48,"O","X",0
"2147",6222,"R","CU",3017.8521,"\N","B",0
"2148",2850,"R","CU",3117.2329,"\N","C",0
"2149",2850,"R","CU",3042.293,"\N","C",0
"2150",2850,"R","CU",3359.3291,"\N","B",0
"2151",6222,"R","CU",3270.53,"\N","B",0
"2152",2850,"R","CU",3010.166,"\N","F",0
"2153",2850,"R","CU",3034.2871,"\N","B",0
"2154",6222,"R","CU",3062.4231,"\N","F",0
"2155",3062,"R","KC",3053.4971,"\N","B",0
"2156",1868,"R","CU",3046.9761,"\N","B",0
"2157",2850,"R","CU",3170.0759,"\N","S",0
"2158",2850,"R","CU",3090.426,"\N","C",0
"2159",2850,"R","CU",3158.1831,"\N","B",0
"2160",6222,"R","CU",3030.834,"\N","B",0
"2161",2850,"R","CU",3220.761,"O","X",0.13
"2162",2850,"R","CU",3217.3999,"\N","B",0
"2163",6222,"R","CU",3028.6331,"\N","B",0
"2164",2850,"R","CU",3035.408,"O","X",0
"2165",2850,"R","CU",3153.7671,"\N","C",0
"2166",2850,"R","CU",3188.552,"\N","C",0
"2167",2850,"R","CU",3256.73,"O","X",0.32
"2168",2850,"R","CU",3169.554,"O","X",0.11
"2169",2850,"R","CU",3303.3811,"\N","C",0
"2170",2850,"R","CU",3308.905,"\N","F",0
"2171",2850,"R","CU",3206.3911,"K","S",0
"2172",2850,"R","CU",3212.0969,"\N","S",0
"2173",2850,"R","CU",3033.969,"\N","C",0
"2174",2850,"R","CU",3170.5061,"\N","F",0
"2175",2850,"R","CU",3029.301,"\N","B",0
"2176",2850,"R","CU",3260.741,"\N","S",0
"2177",2850,"R","CU",3192.8501,"O","X",0.14
"2178",2850,"R","CU",3073.501,"\N","C",0
"2179",2850,"R","CU",3097.76,"\N","B",0
"2180",2850,"R","CU",3182.824,"\N","C",0
"2181",2850,"R","CU",3028.656,"\N","C",0
"2182",2850,"R","CU",3039.5559,"\N","C",0
"2183",2850,"R","CU",3134.7351,"\N","C",0
