Trt,Weight
1,43
1,37
1,36
1,42
1,38
1,31
1,34
2,28
2,35
2,45
2,45
2,38
2,32
2,45
3,30
3,41
3,40
3,44
3,33
3,37
3,46
4,47
4,43
4,44
4,37
4,52
4,39
4,42
5,37
5,41
5,40
5,26
5,23
5,45
5,34
6,36
6,35
6,37
6,30
6,44
6,37
6,40
7,34
7,44
7,37
7,47
7,44
7,43
7,42
