AppTime,AppRate,Weight
1,1,28
1,3,35
1,5,45
1,1,45
1,3,38
1,5,32
1,1,45
1,3,30
1,5,41
1,1,40
1,3,44
1,5,33
1,1,37
1,3,46
1,5,47
1,1,43
1,3,44
1,5,37
1,1,52
1,3,39
1,5,42
2,1,37
2,3,41
2,5,40
2,1,26
2,3,23
2,5,45
2,1,34
2,3,36
2,5,35
2,1,37
2,3,30
2,5,44
2,1,37
2,3,40
2,5,34
2,1,44
2,3,37
2,5,47
2,1,44
2,3,43
2,5,42
