,ID,NElive,NEdir,USdir,sad_18,nerve_18,rest_18,hope_18,effort_18,worth_18,ohom,ohom_ot,home,home_ot,live10m,income_18,fs5,fina,Marr10m,resi,rurb,adults,kids_18,empl1_13,empl2_13,empl3_13,empl4_13,empl5_13,empl6_13,empl7_13,empl8_13,empl9_13,empl_ot_13,born1,hisp1,race_1,race_2,race_3,race_4,race_5,race_6,race_ot,sexr_18,sexr_18_ot,sexorien,lgbfriend,degr,jsat,whrs,part,part_ot,poli,poli_ot,vote16,vote16_ot,relgaffil,relgaffil_ot,ratt,relginflu,IMG7_A,IMG7_B,IMG7_C,IMG7_D,IMG7_E,IMG7_F,EMPL,racecat,agyr,scwell,smoke,rzipcod,Comments7,Pwate
725,820522,2,3,1,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,,2,2,1,NA,NA,NA,NA,NA,,1,,1,2,3,3,0,2,,4,,2,,1,,3,1,12,12,0,12,12,9,5,1,40,2,2,68901,,0.373650902
726,810469,2,3,2,2,2,2,2,2,2,4,,1,,23,6,1,5,1,1,2,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,1,,1,1,5,2,45,3,,4,,2,,2,,7,2,1,1,0,10,5,0,1,1,64,3,2,68773,,1.116824012
727,860522,1,1,1,5,5,5,5,5,5,1,,1,,60,7,5,2,1,1,3,2,0,NA,1,NA,NA,NA,NA,1,NA,NA,ASSIST MY HUSBAND WITH FARMING,2,2,1,NA,NA,NA,NA,NA,,2,,1,1,2,1,24,2,,5,,2,,2,,4,2,4,0,0,2,4,20,2,1,53,2,2,68863,,0.616992096
728,860529,2,3,3,4,3,3,4,3,3,3,,1,,12,2,2,4,4,1,3,2,4,NA,NA,NA,NA,NA,NA,1,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,2,,1,2,3,3,0,2,,3,,2,,1,BAPTIST,7,3,0,1,0,0,0,0,7,1,83,2,1,68883,,1.564837734
729,820287,1,1,2,5,4,4,5,4,5,3,,5,LIVE IN A HUD RETIREMENT APARTMENT COMMUNITY CENTER.,25,1,2,4,3,2,3,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,I JOURNAL EVERY DAY. GONNA WRITE A BOOK!,1,2,1,NA,NA,1,NA,NA,"BLACKFOOT INDIAN, QTR",2,,NA,1,1,2,21,3,,4,,NA,NO ONE!,6,CHRISTIAN! PLAIN & SIMPLE! I BELIEVE! IN GOD & THE BIBLES!,5,2,0,2,1,0,3,4,5,4,55,3,1,68361,,0.466651498
730,810042,2,1,1,5,4,4,5,5,5,1,,1,,58,9,5,2,1,1,3,2,0,NA,NA,NA,NA,NA,NA,1,NA,1,TAKE CARE OF GRANDCHILDREN,2,2,1,NA,NA,NA,NA,NA,,2,,1,2,3,2,40,1,,3,,1,,1,,5,3,1,1,0,10,12,6,7,1,57,2,2,68025,,0.722190465
731,850001,2,3,1,4,3,3,4,4,4,2,,1,,2,6,3,2,1,1,2,2,0,NA,1,NA,NA,NA,NA,NA,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,2,,1,1,2,1,30,3,,4,,2,,5,,2,1,2,0,0,0,2,30,2,1,64,2,2,68003,,0.933302995
732,810499,1,1,1,5,5,5,5,5,5,2,,1,,38,9,5,1,1,1,2,2,2,1,NA,NA,NA,NA,NA,1,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,2,,1,1,6,1,40,2,,4,,2,,1,,3,1,10,12,0,12,15,30,1,1,79,2,2,68831,,1.564837734
733,840346,4,3,2,3,3,3,3,3,4,3,,1,,71,2,2,4,3,2,3,3,0,NA,NA,NA,NA,1,NA,1,NA,NA,,2,2,1,NA,NA,NA,NA,NA,,2,,1,1,2,3,0,1,,3,,3,,1,,4,2,0,0,0,0,0,0,5,1,46,2,1,68507,,0.926893293
734,860306,4,2,2,5,4,5,4,4,5,1,,1,,40,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,3,NA,0,NA,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,68502,,0.466651498
